5;5
5;10
7.5;7.5
10;5
10;10
5;20
5;25
7.5;22.5
10;20
10;25
5;35
5;40
7.5;37.5
10;35
10;40
5;50
5;55
7.5;52.5
10;50
10;55
20;5
20;10
22.5;7.5
25;5
25;10
20;20
20;25
22.5;22.5
25;20
25;25
20;35
20;40
22.5;37.5
25;35
25;40
20;50
20;55
22.5;52.5
25;50
25;55
35;5
35;10
37.5;7.5
40;5
40;10
35;20
35;25
37.5;22.5
40;20
40;25
35;35
35;40
37.5;37.5
40;35
40;40
35;50
35;55
37.5;52.5
40;50
40;55
50;5
50;10
52.5;7.5
55;5
55;10
50;20
50;25
52.5;22.5
55;20
55;25
50;35
50;40
52.5;37.5
55;35
55;40
50;50
50;55
52.5;52.5
55;50
55;55
2.5;2.5
2.5;7.5
2.5;12.5
5;7.5
7.5;2.5
7.5;5
7.5;10
7.5;12.5
10;7.5
12.5;2.5
12.5;7.5
12.5;12.5
2.5;17.5
2.5;22.5
2.5;27.5
5;22.5
7.5;17.5
7.5;20
7.5;25
7.5;27.5
10;22.5
12.5;17.5
12.5;22.5
12.5;27.5
2.5;32.5
2.5;37.5
2.5;42.5
5;37.5
7.5;32.5
7.5;35
7.5;40
7.5;42.5
10;37.5
12.5;32.5
12.5;37.5
12.5;42.5
2.5;47.5
2.5;52.5
2.5;57.5
5;52.5
7.5;47.5
7.5;50
7.5;55
7.5;57.5
10;52.5
12.5;47.5
12.5;52.5
12.5;57.5
17.5;2.5
17.5;7.5
17.5;12.5
20;7.5
22.5;2.5
22.5;5
22.5;10
22.5;12.5
25;7.5
27.5;2.5
27.5;7.5
27.5;12.5
17.5;17.5
17.5;22.5
17.5;27.5
20;22.5
22.5;17.5
22.5;20
22.5;25
22.5;27.5
25;22.5
27.5;17.5
27.5;22.5
27.5;27.5
17.5;32.5
17.5;37.5
17.5;42.5
20;37.5
22.5;32.5
22.5;35
22.5;40
22.5;42.5
25;37.5
27.5;32.5
27.5;37.5
27.5;42.5
17.5;47.5
17.5;52.5
17.5;57.5
20;52.5
22.5;47.5
22.5;50
22.5;55
22.5;57.5
25;52.5
27.5;47.5
27.5;52.5
27.5;57.5
32.5;2.5
32.5;7.5
32.5;12.5
35;7.5
37.5;2.5
37.5;5
37.5;10
37.5;12.5
40;7.5
42.5;2.5
42.5;7.5
42.5;12.5
32.5;17.5
32.5;22.5
32.5;27.5
35;22.5
37.5;17.5
37.5;20
37.5;25
37.5;27.5
40;22.5
42.5;17.5
42.5;22.5
42.5;27.5
32.5;32.5
32.5;37.5
32.5;42.5
35;37.5
37.5;32.5
37.5;35
37.5;40
37.5;42.5
40;37.5
42.5;32.5
42.5;37.5
42.5;42.5
32.5;47.5
32.5;52.5
32.5;57.5
35;52.5
37.5;47.5
37.5;50
37.5;55
37.5;57.5
40;52.5
42.5;47.5
42.5;52.5
42.5;57.5
47.5;2.5
47.5;7.5
47.5;12.5
50;7.5
52.5;2.5
52.5;5
52.5;10
52.5;12.5
55;7.5
57.5;2.5
57.5;7.5
57.5;12.5
47.5;17.5
47.5;22.5
47.5;27.5
50;22.5
52.5;17.5
52.5;20
52.5;25
52.5;27.5
55;22.5
57.5;17.5
57.5;22.5
57.5;27.5
47.5;32.5
47.5;37.5
47.5;42.5
50;37.5
52.5;32.5
52.5;35
52.5;40
52.5;42.5
55;37.5
57.5;32.5
57.5;37.5
57.5;42.5
47.5;47.5
47.5;52.5
47.5;57.5
50;52.5
52.5;47.5
52.5;50
52.5;55
52.5;57.5
55;52.5
57.5;47.5
57.5;52.5
57.5;57.5
